ts_start,ts_end,price
2023-10-03 07:00:00,2023-10-03 08:00:00,0.104350
2023-10-03 06:00:00,2023-10-03 07:00:00,0.098530
2023-10-03 05:00:00,2023-10-03 06:00:00,0.073420
2023-10-03 04:00:00,2023-10-03 05:00:00,0.030480
2023-10-03 03:00:00,2023-10-03 04:00:00,0.070850
2023-10-03 02:00:00,2023-10-03 03:00:00,0.080030
2023-10-03 01:00:00,2023-10-03 02:00:00,0.080040
2023-10-03 00:00:00,2023-10-03 01:00:00,0.055030
2023-10-02 23:00:00,2023-10-03 00:00:00,0.106960
2023-10-02 22:00:00,2023-10-02 23:00:00,0.120000
2023-10-02 21:00:00,2023-10-02 22:00:00,0.160070
2023-10-02 20:00:00,2023-10-02 21:00:00,0.243300
2023-10-02 19:00:00,2023-10-02 20:00:00,0.200090
2023-10-02 18:00:00,2023-10-02 19:00:00,0.200000
2023-10-02 17:00:00,2023-10-02 18:00:00,0.180080
2023-10-02 16:00:00,2023-10-02 17:00:00,0.140080
2023-10-02 15:00:00,2023-10-02 16:00:00,0.139980
2023-10-02 14:00:00,2023-10-02 15:00:00,0.131820
2023-10-02 13:00:00,2023-10-02 14:00:00,0.140020
2023-10-02 12:00:00,2023-10-02 13:00:00,0.140020
2023-10-02 11:00:00,2023-10-02 12:00:00,0.180090
2023-10-02 10:00:00,2023-10-02 11:00:00,0.200080
2023-10-02 09:00:00,2023-10-02 10:00:00,0.329910
2023-10-02 08:00:00,2023-10-02 09:00:00,0.206420
2023-10-02 07:00:00,2023-10-02 08:00:00,0.140070
2023-10-02 06:00:00,2023-10-02 07:00:00,0.099330
2023-10-02 05:00:00,2023-10-02 06:00:00,0.095680
2023-10-02 04:00:00,2023-10-02 05:00:00,0.092020
2023-10-02 03:00:00,2023-10-02 04:00:00,0.093400
2023-10-02 02:00:00,2023-10-02 03:00:00,0.093170
2023-10-02 01:00:00,2023-10-02 02:00:00,0.094900
2023-10-02 00:00:00,2023-10-02 01:00:00,0.099970
2023-10-01 23:00:00,2023-10-02 00:00:00,0.106620
2023-10-01 22:00:00,2023-10-01 23:00:00,0.115160
2023-10-01 21:00:00,2023-10-01 22:00:00,0.130000
2023-10-01 20:00:00,2023-10-01 21:00:00,0.130000
2023-10-01 19:00:00,2023-10-01 20:00:00,0.120060
2023-10-01 18:00:00,2023-10-01 19:00:00,0.099380
2023-10-01 17:00:00,2023-10-01 18:00:00,0.062730
2023-10-01 16:00:00,2023-10-01 17:00:00,0.001530
2023-10-01 15:00:00,2023-10-01 16:00:00,-0.000700
2023-10-01 14:00:00,2023-10-01 15:00:00,-0.001510
2023-10-01 13:00:00,2023-10-01 14:00:00,0.000000
2023-10-01 12:00:00,2023-10-01 13:00:00,0.008990
2023-10-01 11:00:00,2023-10-01 12:00:00,0.040000
2023-10-01 10:00:00,2023-10-01 11:00:00,0.062730
2023-10-01 09:00:00,2023-10-01 10:00:00,0.082100
2023-10-01 08:00:00,2023-10-01 09:00:00,0.088080
2023-10-01 07:00:00,2023-10-01 08:00:00,0.084790
2023-10-01 06:00:00,2023-10-01 07:00:00,0.001700
2023-10-01 05:00:00,2023-10-01 06:00:00,0.004440
2023-10-01 04:00:00,2023-10-01 05:00:00,0.000000
2023-10-01 03:00:00,2023-10-01 04:00:00,0.000000
2023-10-01 02:00:00,2023-10-01 03:00:00,0.000000
2023-10-01 01:00:00,2023-10-01 02:00:00,-0.000010
2023-10-01 00:00:00,2023-10-01 01:00:00,0.002570
2023-09-30 23:00:00,2023-10-01 00:00:00,0.077430
2023-09-30 22:00:00,2023-09-30 23:00:00,0.111910
2023-09-30 21:00:00,2023-09-30 22:00:00,0.133860
2023-09-30 20:00:00,2023-09-30 21:00:00,0.162270
2023-09-30 19:00:00,2023-09-30 20:00:00,0.135480
2023-09-30 18:00:00,2023-09-30 19:00:00,0.107810
2023-09-30 17:00:00,2023-09-30 18:00:00,0.085010
2023-09-30 16:00:00,2023-09-30 17:00:00,0.056000
2023-09-30 15:00:00,2023-09-30 16:00:00,0.015040
2023-09-30 14:00:00,2023-09-30 15:00:00,0.009050
2023-09-30 13:00:00,2023-09-30 14:00:00,0.042760
2023-09-30 12:00:00,2023-09-30 13:00:00,0.070780
2023-09-30 11:00:00,2023-09-30 12:00:00,0.087630
2023-09-30 10:00:00,2023-09-30 11:00:00,0.104980
2023-09-30 09:00:00,2023-09-30 10:00:00,0.108250
2023-09-30 08:00:00,2023-09-30 09:00:00,0.108910
2023-09-30 07:00:00,2023-09-30 08:00:00,0.105300
2023-09-30 06:00:00,2023-09-30 07:00:00,0.092100
2023-09-30 05:00:00,2023-09-30 06:00:00,0.088280
2023-09-30 04:00:00,2023-09-30 05:00:00,0.040010
2023-09-30 03:00:00,2023-09-30 04:00:00,0.088530
